sourceASuri,publisherAStext,rightsASuri,descriptionAStext,descriptionASdate,identifierASdate,coverageASuri,publisherASdate,formatASdate,identifierAStext,identifierASuri,languageASdate,subjectAStext,rightsASdate,languageASuri,languageAStext,subjectASdate,formatASuri,contributorASuri,contributorASdate,creatorASuri,rightsAStext,contributorAStext,subjectASuri,relationASuri,creatorASdate,dateAStext,coverageASdate,sourceAStext,dateASdate,publisherASuri,published,sourceASdate,relationAStext,coverageAStext,typeAStext,titleASuri,formatAStext,creatorAStext,dateASuri,titleASdate,descriptionASuri,titleAStext,typeASdate,relationASdate,typeASuri
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,2009-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2008-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2011-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,2008-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2007-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2011-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2012-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,3,0,2009-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,2008-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,2009-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,6,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,5,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2006-01-01T00:00:00.000Z,0,0,0,1,0,0,5,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2002-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,7,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,9,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,5,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,12,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,13,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2013-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,6,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,11,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2004-01-01T00:00:00.000Z,0,0,0,1,0,0,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2011-01-01T00:00:00.000Z,0,0,0,1,0,0,11,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2005-01-01T00:00:00.000Z,0,0,0,1,0,0,4,0,0,0,1,0,0,0
